260,000	230,000	490,000	26,885	78,261	92,430	1,000	27,615	7,727	21,591	7,379	25,661	180,000	0,000	143913,782	143914,782	143919,536	143919,799	143919,979	143920,041	0,000	52753,782	52754,782	52759,536	52759,800	52759,980	52760,041	4,029	6,469	3,442	6,465	25,000	0,000	6,316	3,460	1,000	80,000	0,000	960,000	373,333
290,000	320,000	610,000	27,144	96,875	68,268	0,000	10,784	9,460	19,523	9,447	10,784	310,000	0,000	143924,598	143925,598	143928,930	143929,231	143929,541	143929,560	0,000	52764,598	52765,598	52768,930	52769,231	52769,541	52769,560	1,107	9,450	1,090	9,449	25,000	0,000	NaN	2,179	1,000	70,000	0,000	960,000	373,333
270,000	180,000	450,000	27,144	94,444	89,452	0,000	15,372	7,736	21,251	7,719	15,372	170,000	0,000	143934,329	143935,329	143940,068	143940,340	143940,510	143940,531	0,000	52774,329	52775,330	52780,068	52780,340	52780,510	52780,531	1,561	7,624	1,526	7,639	25,000	0,000	NaN	39,656	1,000	70,000	0,000	960,000	373,333
110,000	360,000	470,000	27,144	58,333	72,459	2,000	10,233	9,963	24,772	4,197	9,868	210,000	0,000	143946,643	143947,643	143950,844	143951,044	143951,254	143951,410	0,000	52786,643	52787,643	52790,844	52791,044	52791,254	52791,410	1,714	9,816	0,599	4,166	25,000	0,000	5,866	28,934	1,000	70,000	0,000	960,000	373,333
410,000	200,000	610,000	27,144	95,000	92,854	0,000	15,208	8,549	20,438	8,532	15,208	190,000	0,000	143958,454	143959,454	144002,556	144002,970	144003,160	144003,181	0,000	52798,454	52799,454	52802,556	52802,970	52803,160	52803,181	2,498	8,193	2,463	8,210	25,000	0,000	NaN	31,616	1,000	70,000	0,000	960,000	373,333
300,000	90,000	390,000	26,158	0,000	104,787	0,000	11,457	6,320	28,787	0,183	18,975	0,000	0,000	144010,246	144011,247	144015,014	144015,322	144015,322	144015,420	0,000	52810,246	52811,247	52815,014	52815,322	52815,322	52815,420	0,113	6,466	0,005	0,187	25,000	0,000	85,834	NaN	1,000	106,000	5,000	960,000	373,333
270,000	210,000	480,000	27,144	85,714	119,876	1,000	30,164	9,829	20,269	8,700	30,164	180,000	0,000	144020,289	144021,288	144026,125	144026,399	144026,579	144026,620	0,000	52820,289	52821,289	52826,125	52826,399	52826,579	52826,620	6,746	7,594	5,269	7,592	25,000	0,000	NaN	6,859	1,000	70,000	0,000	960,000	373,333
310,000	130,000	440,000	27,144	92,308	84,130	0,000	12,193	4,527	24,436	4,534	12,193	120,000	0,000	144031,997	144032,997	144035,468	144035,781	144035,901	144035,920	0,000	52831,997	52832,997	52835,468	52835,781	52835,901	52835,920	0,171	4,634	0,171	4,642	25,000	0,000	NaN	42,354	1,000	70,000	0,000	960,000	373,333
250,000	170,000	420,000	27,144	88,235	115,920	1,000	16,957	9,084	20,016	8,954	16,957	150,000	0,000	144041,681	144042,681	144047,824	144048,081	144048,231	144048,260	0,000	52841,681	52842,681	52847,825	52848,081	52848,231	52848,260	2,655	8,635	2,435	8,643	25,000	0,000	NaN	20,085	1,000	70,000	0,000	960,000	373,333
280,000	110,000	390,000	25,725	0,000	96,290	0,000	12,369	6,917	28,876	0,094	17,385	0,000	0,000	144054,478	144055,480	144100,201	144100,490	144100,490	144100,610	0,000	52854,478	52855,480	52860,202	52860,490	52860,490	52860,610	0,656	6,940	0,013	0,095	25,000	0,000	90,724	NaN	1,000	125,000	0,000	960,000	373,333
280,000	330,000	610,000	25,750	96,970	72,629	0,000	11,416	8,809	20,161	8,809	11,416	320,000	0,000	144105,169	144106,170	144111,603	144111,891	144112,211	144112,231	0,000	52865,169	52866,170	52871,603	52871,891	52872,211	52872,231	1,014	8,775	1,013	8,775	25,000	0,000	NaN	0,640	1,000	124,000	0,000	960,000	373,333
310,000	180,000	490,000	27,144	94,444	95,281	0,000	10,028	8,770	20,186	8,783	10,028	170,000	0,000	144117,905	144118,905	144121,663	144121,979	144122,149	144122,171	0,000	52877,905	52878,905	52881,663	52881,980	52882,150	52882,171	1,334	8,676	1,320	8,700	25,000	0,000	NaN	47,968	1,000	70,000	0,000	960,000	373,333
240,000	110,000	350,000	27,144	90,909	56,222	0,000	19,861	4,043	24,956	4,014	19,861	100,000	0,000	144127,197	144128,197	144132,278	144132,519	144132,620	144132,640	0,000	52887,197	52888,197	52892,278	52892,520	52892,620	52892,640	1,622	3,691	1,587	3,706	25,000	0,000	NaN	47,936	1,000	70,000	0,000	960,000	373,333
270,000	330,000	600,000	24,422	72,727	83,836	2,000	21,875	7,170	21,938	7,032	21,258	240,000	0,000	144138,315	144139,315	144144,377	144144,650	144144,890	144144,990	0,000	52898,315	52899,315	52904,377	52904,650	52904,890	52904,990	2,312	6,806	2,042	6,805	25,000	0,000	1,112	0,075	1,000	176,000	0,000	960,000	373,333
300,000	120,000	420,000	23,462	91,667	74,690	0,000	23,088	6,085	22,894	6,076	23,088	110,000	0,000	144150,129	144151,129	144155,109	144155,410	144155,520	144155,540	0,000	52910,129	52911,129	52915,109	52915,410	52915,520	52915,540	2,619	5,406	2,592	5,450	25,000	0,000	NaN	69,412	1,000	214,000	0,000	960,000	373,333
260,000	60,000	320,000	25,376	0,000	90,649	0,000	12,484	4,398	28,835	0,135	14,585	0,000	0,000	144201,848	144202,848	144208,289	144208,550	144208,550	144208,620	0,000	52921,848	52922,848	52928,289	52928,550	52928,550	52928,620	0,531	4,338	0,023	0,134	25,000	0,000	23,535	NaN	1,000	120,000	44,000	960,000	373,333
290,000	150,000	440,000	26,756	93,333	127,646	0,000	8,262	9,437	19,532	9,438	8,262	140,000	0,000	144213,184	144214,185	144216,886	144217,180	144217,320	144217,341	0,000	52933,184	52934,185	52936,886	52937,180	52937,320	52937,341	0,628	9,454	0,629	9,457	25,000	0,000	NaN	103,459	1,000	85,000	0,000	960,000	373,333
290,000	60,000	350,000	25,615	0,000	64,757	0,000	21,425	3,134	28,869	0,101	28,510	0,000	0,000	144221,890	144222,890	144225,818	144226,111	144226,111	144226,181	0,000	52941,890	52942,890	52945,818	52946,111	52946,111	52946,181	0,384	3,166	0,018	0,103	25,000	0,000	17,043	NaN	1,000	124,000	12,000	960,000	373,333
240,000	320,000	560,000	21,720	34,375	88,206	4,000	43,711	8,577	25,339	3,631	41,225	110,000	0,000	144230,742	144231,742	144235,982	144236,230	144236,340	144236,560	0,000	52950,742	52951,742	52955,982	52956,230	52956,340	52956,560	8,660	4,503	5,179	1,804	25,000	0,000	3,216	8,093	1,000	261,000	45,000	960,000	373,333
